;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;MP_entropy;MP_complexity;MP_fisher_shanon;MP_edge_entropy;MP_edge_complexity;MP_edge_fisher_shannon;MP_number_nodes;MP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
499;[356, 500];0.9920025853472867;0.007650790293904956;0.002392724486640795;0.9282136470754652;0.06591012330472461;0.11082670234910257;18.0;0.10638297872340426;0.9926075015478074;0.007333857976341845;0.00715073863774772;0.9337851376692216;0.06368767510851175;0.08016478763866519;16.0;0.0070921985815602835;0.7173631888894636;0.2066998901911672;0.10149491267430899;1.0;-2.445895694589212e-16;0.0;14.0;0.375886524822695;0.9805645159529889;0.018576668284349156;0.007621003289443425;0.9306282244165778;0.06882298225072173;0.0502404735808355;18.0;0.11347517730496454;0.9935555095982223;0.006338477946726766;0.006450108931239565;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.0070921985815602835
500;[357, 501];0.9918387730734765;0.007808777989084177;0.001922237760053948;0.9282136470754652;0.06591012330472461;0.11082670234910257;18.0;0.10638297872340426;0.9935954681901538;0.006287267121047786;0.006491869568722351;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7133935506372517;0.20748340344527408;0.10369773616868608;1.0;-2.445895694589212e-16;0.0;14.0;0.375886524822695;0.9782968760731531;0.020566000526030394;0.008943459501512187;0.9306282244165778;0.06882298225072173;0.054727771688616186;18.0;0.11347517730496454;0.9935555095982223;0.006338477946726766;0.0062308929936187325;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.0070921985815602835
501;[358, 502];0.9927360688556145;0.006901774418354759;0.0021829315452721373;0.9282136470754652;0.06591012330472461;0.11082670234910257;18.0;0.10638297872340426;0.9944892997239781;0.005462305632962348;0.00606840194648613;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.3829787234042553;0.9782968760731531;0.020566000526030394;0.008943459501512187;0.9306282244165778;0.06882298225072173;0.050240473580835505;18.0;0.11347517730496454;0.9943443239395304;0.005588645279297296;0.00548343128285432;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.0070921985815602835
502;[359, 503];0.9920025853472867;0.007650790293904956;0.002392724486640795;0.8892952760645765;0.09815439477018684;0.16970655280994731;18.0;0.10638297872340426;0.9948240509438697;0.005134160481981061;0.00508891240500838;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7005374316208951;0.21153493592545625;0.11265879093802184;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9789975720646207;0.019885256962602023;0.007764780544137515;0.921814557475119;0.07465101395325839;0.08917794132218992;18.0;0.11347517730496454;0.9956956828430854;0.004253829450406833;0.004342743140049464;0.9681905137485697;0.03239630306032309;0.029962854577256316;16.0;0.0070921985815602835
503;[360, 504];0.9920025853472867;0.007650790293904713;0.002802881674568772;0.8892952760645765;0.09815439477018684;0.16970655280994731;18.0;0.10638297872340426;0.9957644909315467;0.004156360223084907;0.004537468044742687;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7000651582845941;0.21170999019326686;0.10836163860881642;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9771605771143423;0.0214205418330861;0.009233239685837872;0.9099617502405772;0.08386502482452259;0.08975794388788641;18.0;0.11347517730496454;0.9963963788345531;0.003548989203892813;0.003679949124514796;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
504;[361, 505];0.9935039138153189;0.006259897223263519;0.002115054363488034;0.909961750240577;0.08386502482452322;0.14810022217268462;18.0;0.09929078014184398;0.9963589537846268;0.0036064479713596373;0.004351274646988242;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9769733464824634;0.021607776775134015;0.010111573248873997;0.9099617502405772;0.08386502482452259;0.08975794388788641;18.0;0.11347517730496454;0.9968686521708541;0.0030983311020800187;0.00320277031125834;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
505;[362, 506];0.9935039138153189;0.006259897223263519;0.002115054363488034;0.909961750240577;0.08386502482452322;0.14810022217268462;18.0;0.09219858156028368;0.9963589537846269;0.0036064479713598815;0.0036738368368709894;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7005374316208951;0.21153493592545625;0.11265879093802184;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9773392912540397;0.02124575875071833;0.01054966985079358;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.11347517730496454;0.9978778092248126;0.002100004010645908;0.0023716753772610477;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
506;[363, 507];0.9935039138153189;0.006259897223263519;0.002115054363488034;0.8892952760645765;0.09815439477018684;0.16970655280994731;18.0;0.09929078014184398;0.9969214983468735;0.003021241924915459;0.0035022588080604556;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.695573689630086;0.21428198121407116;0.11766969555196186;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9735005917140825;0.024853631357112226;0.012225732580716173;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.11347517730496454;0.9982274623105911;0.0017473840133169422;0.002041311734738137;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
507;[364, 508];0.9936748527614003;0.006090917569371134;0.003000145073930911;0.8892952760645765;0.09815439477018684;0.16970655280994731;18.0;0.09929078014184398;0.9975393737421004;0.002436541992526849;0.003171688655314921;0.9337851376692216;0.06368767510851175;0.08016478763866519;16.0;0.0070921985815602835;0.7005374316208951;0.21153493592545625;0.11265879093802184;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9731346469425063;0.025212808103067905;0.013269331061752702;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.11347517730496454;0.9980762574597579;0.001889078803004359;0.0018515342229277836;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
508;[365, 509];0.9929053517198048;0.006896108004302487;0.0032506317401682786;0.9282136470754652;0.06591012330472391;0.08955024953399726;18.0;0.09929078014184398;0.9977103126881819;0.0022662121836959487;0.0023720866721222054;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7000651582845941;0.21170999019326686;0.10836163860881642;1.0;-2.445895694589212e-16;0.0;14.0;0.3900709219858156;0.9726211815829175;0.02569996192582323;0.014814975979468868;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.11347517730496454;0.9985485307960588;0.0014368701638762568;0.0013905072185500587;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
509;[366, 510];0.991753676337551;0.00793704627037359;0.0036879585783318528;0.9282136470754652;0.06591012330472391;0.08955024953399726;18.0;0.09929078014184398;0.9984110086796496;0.0015585388003650415;0.0014253432613312994;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.3829787234042553;0.9707437671119822;0.027205768164075318;0.015319746349489155;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.11347517730496454;0.9982274623105911;0.0017473840133169422;0.0017445043786078864;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
510;[367, 511];0.9903082183691693;0.009244462492874559;0.0050294304338398;0.9282136470754652;0.06591012330472391;0.08955024953399726;18.0;0.10638297872340426;0.9984110086796496;0.0015585388003650415;0.0013878802257077869;0.8757609339601583;0.1070592825073968;0.15011816873798792;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.375886524822695;0.9680673874985908;0.02943939796122063;0.017721245629386113;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.12056737588652483;0.9976905785929336;0.0022950067027801076;0.0022656861413291344;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
511;[368, 512];0.9901372794230878;0.009412318082325705;0.005506191064880754;0.8616051493362593;0.1452560567564637;0.26412218355500394;18.0;0.10638297872340426;0.997256249566765;0.002691465853861644;0.0024180932094060373;0.8757609339601583;0.1070592825073968;0.15011816873798792;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.375886524822695;0.9650985362335015;0.031920532233736726;0.019228610000512326;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.1276595744680851;0.9968686521708541;0.0030983311020800187;0.003448370340142919;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.0070921985815602835
512;[369, 513];0.9897876263373093;0.009759362525244451;0.006465220427044471;0.9607329284860074;0.039982764460581195;0.04961749388719515;18.0;0.10638297872340426;0.997256249566765;0.002691465853861644;0.0024180932094060373;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.375886524822695;0.9654644810050776;0.03156702108076605;0.01721264063188622;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.1276595744680851;0.9970259083825115;0.002948302274895493;0.003419728328518358;0.9546444483376649;0.04329880445251284;0.024554853925698734;16.0;0.0070921985815602835
513;[370, 514];0.9884649084750714;0.011122643440297087;0.007691869264413792;0.9187754171820363;0.07821885334427424;0.07858495705504467;18.0;0.10638297872340426;0.997256249566765;0.002691465853861644;0.0024180932094060373;0.9202390722583168;0.07371028253262966;0.1020665848667518;16.0;0.0070921985815602835;0.7047554336680023;0.21077623137352705;0.11028227812982261;1.0;-2.445895694589212e-16;0.0;14.0;0.375886524822695;0.9654644810050776;0.03156702108076605;0.01721264063188622;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.1276595744680851;0.9975627921001692;0.0024013976559077803;0.003263746799594805;0.9546444483376649;0.04329880445251284;0.024554853925698734;16.0;0.0070921985815602835
514;[371, 515];0.9884649084750714;0.011122643440297087;0.007691869264413792;0.9187754171820363;0.07821885334427424;0.07858495705504467;18.0;0.10638297872340426;0.997874124961992;0.002106364131602487;0.0016323863720754737;0.944007477192058;0.05302369343549294;0.0895430500338413;17.0;0.014184397163120567;0.708776788629996;0.21004690094327003;0.10814221469061211;1.0;-2.445895694589212e-16;0.0;14.0;0.36879432624113473;0.9654644810050776;0.03156702108076605;0.01721264063188622;0.9099617502405772;0.08386502482452259;0.08975794388788641;18.0;0.1276595744680851;0.9983847185222486;0.0015969365638449256;0.0022853903267622436;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
515;[372, 516];0.989418359011904;0.010293132829373143;0.007752206512602371;0.9187754171820363;0.07821885334427424;0.07858495705504467;18.0;0.09929078014184398;0.998240069733568;0.0017291099597021935;0.0010153674205651616;0.944007477192058;0.05302369343549294;0.0895430500338413;17.0;0.014184397163120567;0.7173631888894636;0.2066998901911672;0.10149491267430899;1.0;-2.445895694589212e-16;0.0;14.0;0.3617021276595745;0.9680495018476177;0.02946549328846687;0.015065499995617841;0.9099617502405772;0.08386502482452259;0.08975794388788641;18.0;0.12056737588652483;0.9988981838818374;0.001083780044235234;0.001548964723164621;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
516;[373, 517];0.990740973340239;0.00908947166436073;0.0071096415186919;0.8798570461711475;0.10954180855490324;0.11024575140626315;18.0;0.09219858156028368;0.9980762574597579;0.0018890788030046031;0.0016764995562154193;0.944007477192058;0.05302369343549294;0.0895430500338413;17.0;0.014184397163120567;0.7211400211035014;0.2059493381659924;0.09952189230065092;1.0;-2.445895694589212e-16;0.0;14.0;0.3546099290780142;0.9700251854695415;0.027901422862455783;0.014744052533462785;0.9099617502405772;0.08386502482452259;0.08975794388788641;18.0;0.12056737588652483;0.9984061764502884;0.00156514418214415;0.0025046723171598686;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
517;[374, 518];0.990740973340239;0.00908947166436073;0.0071096415186919;0.7925820742559411;0.1904493739633093;0.2222330056250526;18.0;0.09219858156028368;0.9983847185222486;0.0015969365638446812;0.0011594546423495315;0.944007477192058;0.05302369343549294;0.0895430500338413;17.0;0.014184397163120567;0.7365115799622417;0.1957130836275086;0.09521105655152362;1.0;-2.445895694589212e-16;0.0;14.0;0.3475177304964539;0.9675360364880289;0.029947705018004103;0.01680078768108903;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.12056737588652483;0.9988981838818374;0.001083780044235234;0.0018131691955038574;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
518;[375, 519];0.9890524142403277;0.010663873152137238;0.008842956654662374;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.09929078014184398;0.9975627921001692;0.0024013976559077803;0.0014600718758437895;0.9440074771920578;0.05302369343549292;0.0676479083840953;17.0;0.014184397163120567;0.7407759183023387;0.1945847713454825;0.09723415067426557;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3404255319148936;0.9657064483956663;0.03191779597234779;0.01664456917090448;0.8822716235122601;0.1326740121853418;0.13355743120599306;18.0;0.12056737588652483;0.9990691228279188;0.0009129856270035184;0.0013957998369119068;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
519;[376, 520];0.988580140904027;0.011107360396296959;0.009929656723542074;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.09929078014184398;0.9980762574597579;0.0018890788030046031;0.001130679351569222;0.9440074771920578;0.05302369343549292;0.0676479083840953;17.0;0.014184397163120567;0.7407759183023387;0.1945847713454825;0.09723415067426557;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3333333333333333;0.9657064483956663;0.03191779597234779;0.01664456917090448;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.12056737588652483;0.9993901913133865;0.0006019409545881508;0.0010059642232186448;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
520;[377, 521];0.9908907218747085;0.008864695159496717;0.008361344652764021;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.09929078014184398;0.998240069733568;0.0017291099597021935;0.0010153674205651616;0.9440074771920578;0.05302369343549292;0.0676479083840953;17.0;0.014184397163120567;0.7407759183023387;0.1945847713454825;0.09723415067426557;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3333333333333333;0.9680168832374817;0.03005222327223485;0.016372457403513573;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.11347517730496454;0.9993901913133865;0.0006019409545886397;0.0008152683257084336;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
521;[378, 522];0.9913629952110092;0.00841907820232514;0.007811775217010748;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.09929078014184398;0.9990619961556475;0.0009235469127671259;0.0004349677933852094;0.9440074771920578;0.05302369343549292;0.0676479083840953;17.0;0.014184397163120567;0.7442556473421917;0.19374867579659025;0.0955900189459182;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3262411347517731;0.970791593490555;0.02768901150633709;0.014793888362614598;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.11347517730496454;0.9993901913133865;0.0006019409545886397;0.0008152683257084336;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
522;[379, 523];0.990740973340239;0.00908947166436073;0.007484783261726319;0.9099617502405772;0.08386502482452259;0.08975794388788641;18.0;0.0921985815602837;0.9988981838818374;0.001083780044235234;0.00036133143292183266;0.8785204509214299;0.13468333864757576;0.1490291887199334;16.0;0.014184397163120567;0.7482527804658713;0.19265827718028716;0.09775687234752466;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3262411347517731;0.968579427799728;0.02949914035796275;0.015033352033883868;0.8822716235122601;0.1326740121853418;0.13355743120599306;18.0;0.11347517730496454;0.9995540035871967;0.00044154975886518045;0.00044833292371935764;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
523;[380, 524];0.98918692451861;0.01071547037456328;0.008754547103274283;0.8315004452668298;0.1670684297965183;0.18883070846130784;18.0;0.0921985815602837;0.9980762574597579;0.0018890788030046031;0.0007942951489221439;0.8785204509214299;0.13468333864757576;0.1490291887199334;16.0;0.014184397163120567;0.7374301813608508;0.19871904999171772;0.10276672919209576;0.9111886696810589;0.07947441572460452;0.07413616791002275;14.0;0.3262411347517731;0.9666037441778044;0.03105744620526408;0.015435357673155172;0.8822716235122601;0.1326740121853418;0.13355743120599306;18.0;0.12056737588652483;0.9990619961556475;0.0009235469127676147;0.0010351080837984643;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
524;[381, 525];0.9893656386583073;0.010536506655072218;0.008226148921060413;0.8315004452668298;0.1670684297965183;0.18883070846130784;18.0;0.0921985815602837;0.9984110086796496;0.0015585388003650415;0.0009796447461640568;0.8785204509214299;0.13468333864757576;0.1490291887199334;16.0;0.014184397163120567;0.7290577341751446;0.20237551949140264;0.10974362821756065;0.9756641375534827;0.024232992368046657;0.015567246005045731;14.0;0.3333333333333333;0.9640187233352642;0.03315133408964464;0.01580913004751438;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.1276595744680851;0.9988981838818374;0.001083780044235234;0.0014396504106444562;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
525;[382, 526];0.9917807428963668;0.008135423892395365;0.006796195187352196;0.8941244307468018;0.12445959768558607;0.09823729810778066;18.0;0.0921985815602837;0.9988832820159504;0.0011060216107626067;0.000794441664318702;0.9101663100395065;0.0796432343757514;0.1075643035433343;16.0;0.014184397163120567;0.7399356922446955;0.19649745663119608;0.10471765186829093;0.9756641375534827;0.024232992368046657;0.015567246005045731;14.0;0.3333333333333333;0.963634892912715;0.03352957430755765;0.016997477303488023;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.1276595744680851;0.9990554400934948;0.000933126682432631;0.0013059744332490205;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
526;[383, 527];0.9911100213251204;0.008789517015116063;0.00828674154118069;0.8822716235122601;0.1326740121853418;0.13355743120599306;18.0;0.0921985815602837;0.9987194697421402;0.001266196095519554;0.0005331566044309926;0.9101663100395065;0.0796432343757514;0.1075643035433343;16.0;0.014184397163120567;0.7448284103905484;0.19350771985597826;0.0993465486514413;0.9475231583990614;0.05186115021048158;0.05170731382353633;15.0;0.3333333333333333;0.9657064483956663;0.03191779597234779;0.01664456917090448;0.8616051493362593;0.14525605675646305;0.15100604012805394;18.0;0.12056737588652483;0.9993901913133865;0.0006019409545879064;0.0009309701763376347;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
527;[384, 528];0.9909588164742873;0.008929123212741618;0.00872423542637292;0.8315004452668298;0.1670684297965183;0.18883070846130784;18.0;0.0921985815602837;0.9993901913133865;0.0006019409545881508;0.0001516535663294915;0.9101663100395065;0.0796432343757514;0.1075643035433343;16.0;0.014184397163120567;0.7407759183023387;0.1945847713454825;0.09723415067426557;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3333333333333333;0.9680168832374815;0.03005222327223413;0.0148298959247792;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.11347517730496454;0.9993901913133865;0.0006019409545881508;0.0010059642232186448;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
528;[385, 529];0.9905928717027112;0.009300956520438919;0.009303579621295419;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.0921985815602837;0.9993901913133865;0.0006019409545881508;0.0001516535663294915;0.9101663100395065;0.0796432343757514;0.1075643035433343;16.0;0.014184397163120567;0.7508624789012058;0.18917486050672455;0.09335739458724743;0.9924509044541705;0.007078154738359441;0.0077708088025879845;15.0;0.3333333333333333;0.9697370414967593;0.028698222864229603;0.014727676010604407;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.11347517730496454;0.9988981838818374;0.001083780044235234;0.0018131691955038574;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
529;[386, 530];0.9897395188725499;0.010231011876246204;0.009180857979254815;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.0921985815602837;0.9993901913133865;0.0006019409545881508;0.0001516535663294915;0.9101663100395065;0.0796432343757514;0.1075643035433343;16.0;0.014184397163120567;0.7551820313200039;0.18647817564658287;0.08913286774793691;0.9699870314266159;0.030004308271133782;0.020968722283650286;15.0;0.3333333333333333;0.9697370414967593;0.028698222864229603;0.014727676010604407;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.11347517730496454;0.999219252367305;0.0007728435714969618;0.0012015182300328235;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
530;[387, 531];0.9897395188725499;0.010231011876246204;0.009180857979254815;0.8315004452668298;0.1670684297965183;0.18883070846130784;18.0;0.0921985815602837;0.9993901913133865;0.0006019409545881508;0.0001516535663294915;0.9546444483376649;0.04329880445251284;0.05518524212053243;16.0;0.014184397163120567;0.7545875684669237;0.18674973664336217;0.08548150292924273;0.9699870314266159;0.030004308271133782;0.020968722283650286;15.0;0.3333333333333333;0.9697370414967593;0.028698222864229603;0.014727676010604407;0.873457956570801;0.13748854455069606;0.1259530781775641;18.0;0.11347517730496454;0.999219252367305;0.0007728435714969618;0.0012015182300328235;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
531;[388, 532];0.9897395188725499;0.010231011876246204;0.009180857979254815;0.7638802312078818;0.19906690997501417;0.21188419211235343;18.0;0.0921985815602837;0.9993901913133865;0.0006019409545881508;0.00037653373196367166;0.9546444483376649;0.04329880445251284;0.05518524212053243;16.0;0.014184397163120567;0.7587419578022608;0.18550251825561215;0.08726868802748462;0.9699870314266159;0.030004308271133782;0.020968722283650286;15.0;0.3262411347517731;0.9697370414967593;0.028698222864229603;0.014727676010604407;0.8433532525013715;0.1600207811327745;0.1684247658491351;18.0;0.10638297872340426;0.9985485307960588;0.0014368701638762568;0.002329641788297629;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
532;[389, 533];0.9897395188725499;0.010231011876246204;0.009180857979254815;0.6854189262341346;0.2531666328776669;0.40625;18.0;0.0921985815602837;0.9987194697421402;0.001266196095519554;0.0007314033102215365;0.9546444483376649;0.04329880445251284;0.05518524212053243;16.0;0.014184397163120567;0.7621101780172762;0.18457603765505584;0.08562887767680549;0.9699870314266159;0.030004308271133782;0.020968722283650286;15.0;0.3191489361702128;0.9716774788231687;0.027115730609960257;0.013326330792048948;0.8433532525013715;0.1600207811327745;0.1684247658491351;18.0;0.09929078014184398;0.99803506543647;0.0019496650131731455;0.0028443057914469124;0.9566504715755689;0.042706726936618866;0.013872897637881174;17.0;0.014184397163120567
533;[390, 534];0.98990333114636;0.01007376488100327;0.008519725843604557;0.7925820742559411;0.1904493739633093;0.2222330056250526;18.0;0.0921985815602837;0.9983984012566725;0.0015768181446378236;0.0006439403313606444;0.9546444483376649;0.04329880445251284;0.05518524212053243;16.0;0.014184397163120567;0.7751482803875792;0.17535822077756222;0.08247644408372744;0.9475231583990614;0.05186115021048181;0.028382285143443577;15.0;0.3191489361702128;0.973042200437146;0.02602937369044333;0.013474377460752147;0.8433532525013715;0.1600207811327745;0.1684247658491351;18.0;0.09929078014184398;0.9977139969510024;0.0022598536996483094;0.0030120618514973955;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
534;[391, 535];0.9883415797384618;0.011539516629645412;0.010217216128687692;0.7925820742559411;0.1904493739633093;0.2222330056250526;18.0;0.0921985815602837;0.9987194697421401;0.001266196095519554;0.0008708353118418987;0.9546444483376649;0.04329880445251284;0.05518524212053243;16.0;0.014184397163120567;0.7792096958670269;0.17270382342326446;0.07858456989681012;0.9329350879565486;0.06252685030320915;0.05089270770427419;15.0;0.3191489361702128;0.9708555524010891;0.02787699700372032;0.013820626814102167;0.8433532525013715;0.1600207811327745;0.1684247658491351;18.0;0.09929078014184398;0.9971771132333447;0.0028069178185766977;0.004093649410782138;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
535;[392, 536];0.9872424194484613;0.012748253764896184;0.010245761371805533;0.7925820742559411;0.1904493739633093;0.2222330056250526;18.0;0.0921985815602837;0.999040538227608;0.0009553740027235631;0.0008892499521665109;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.014184397163120567;0.7784796766070127;0.17306723019935147;0.07519029025689426;0.9329350879565486;0.06252685030320915;0.05089270770427419;15.0;0.3191489361702128;0.9711640134635798;0.027601109139398432;0.012450492701441756;0.909961750240577;0.08386502482452256;0.10770869905131135;18.0;0.09929078014184398;0.9970259083825116;0.0029483022748959813;0.0045050283629059044;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
536;[393, 537];0.9872424194484613;0.012748253764896184;0.010245761371805533;0.7053071023407346;0.25114576129769506;0.39149575140626325;18.0;0.0921985815602837;0.9987194697421401;0.001266196095519554;0.000693940274598024;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.014184397163120567;0.7824631509549161;0.1716737330756097;0.07695676746255693;0.9329350879565486;0.06252685030320915;0.05089270770427419;15.0;0.3120567375886525;0.9725287350775572;0.026516047787318673;0.012730393546152559;0.8433532525013715;0.1600207811327745;0.1684247658491351;18.0;0.09929078014184398;0.9971771132333447;0.0028069178185766977;0.0036910348120839875;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
537;[394, 538];0.9872424194484613;0.012748253764896184;0.010245761371805533;0.7053071023407346;0.25114576129769506;0.39149575140626325;18.0;0.0921985815602837;0.9993901913133865;0.0006019409545879064;0.00033907069634015895;0.96819051374857;0.0323963030603231;0.029962854577256316;16.0;0.014184397163120567;0.7824631509549161;0.1716737330756097;0.07695676746255693;0.9329350879565486;0.06252685030320915;0.05089270770427419;15.0;0.3049645390070922;0.9725287350775572;0.026516047787318673;0.012730393546152559;0.8433532525013715;0.1600207811327745;0.1684247658491351;18.0;0.09929078014184398;0.9978478348045912;0.0021447267693491825;0.0031059130328481193;0.96929346595908;0.03209829420167817;0.024597980457651103;17.0;0.014184397163120567
