;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
581;[481, 582];0.9640043246476913;0.03335979474403168;0.02354886237214629;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9576906566629807;0.03812720842074164;0.02077784403220862;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.16326530612244897;0.9887846652106187;0.01099254438090209;0.006212742513495068;0.9306282244165778;0.06882298225072173;0.08373412263472584;18.0;0.11224489795918366;0.4626994522048903;0.24714667262141143;0.22737775738069949;0.7737056144690833;0.2255157275432491;0.5;6.0;0.6122448979591837;0.8951921716291993;0.09000732252165404;0.058786038546293426;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.22448979591836735
582;[482, 583];0.9599995033130766;0.036593516387770475;0.025921032278002867;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.14285714285714285;0.9533159986972854;0.041546288301202584;0.022635446811037477;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.17346938775510204;0.9861033824413642;0.01373266114196676;0.009167251043979715;0.9488801212514659;0.05009849909615667;0.042012192481623266;18.0;0.11224489795918366;0.47261080231095715;0.24909244148174525;0.22093059002731105;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6020408163265306;0.9005824129499833;0.08503165830371215;0.0501819272829121;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.22448979591836735
583;[483, 584];0.9629438333268119;0.034348815371320424;0.026184319033891713;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9573145457009973;0.03848466758427846;0.022403538429552526;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.16326530612244897;0.9887276401091974;0.011248885680226153;0.008480818741051093;0.8315004452668298;0.1670684297965183;0.2553616523516816;18.0;0.10204081632653061;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.7435032788101106;0.23349426159598274;0.417157287525381;7.0;0.5918367346938775;0.9072474912868099;0.08035665553674727;0.04809690013566896;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.21428571428571427
584;[484, 585];0.9667542202191577;0.031223259953148556;0.023711906045077013;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.12244897959183673;0.9615073178862292;0.035149025352544376;0.02043220542486563;0.9789848253208955;0.020031194717033057;0.024603500482777596;18.0;0.16326530612244897;0.9919877611647422;0.007979621592744965;0.006063751938424892;0.9306282244165778;0.06882298225072173;0.08149047358083548;18.0;0.09183673469387754;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.9107820572788491;0.07823569769209769;0.049293899854549225;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.20408163265306123
585;[485, 586];0.9667542202191577;0.031223259953148556;0.023711906045077013;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.12244897959183673;0.956911525367944;0.03888047605728538;0.02493905728804708;0.9488801212514659;0.05009849909615667;0.046460602811143795;18.0;0.16326530612244897;0.9919877611647422;0.007979621592744965;0.006063751938424892;0.8315004452668298;0.1670684297965183;0.3077192985911579;18.0;0.09183673469387754;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.9107820572788491;0.07823569769209769;0.049293899854549225;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.20408163265306123
586;[486, 587];0.9640043246476913;0.03335979474403168;0.02354886237214629;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9495238505882664;0.04553293405437172;0.028626666848944365;0.9151375424972876;0.0781069856660928;0.0829789537567214;17.0;0.17346938775510204;0.9896320565244525;0.010252423658533617;0.006844666687278643;0.7648919475276241;0.22832351979795806;0.5017415028125263;18.0;0.10204081632653061;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.9042693618502062;0.082879269560905;0.05150272098550902;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.21428571428571427
587;[487, 588];0.9629438333268119;0.034348815371320424;0.026184319033891713;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9487951673101502;0.0462024659735233;0.03090053278220574;0.9151375424972876;0.0781069856660928;0.0829789537567214;17.0;0.17346938775510204;0.9887276401091974;0.011248885680226153;0.008480818741051093;0.8315004452668298;0.1670684297965183;0.2553616523516816;18.0;0.10204081632653061;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.9005824129499833;0.08503165830371215;0.0501819272829121;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.22448979591836735
588;[488, 589];0.9660255369410415;0.03191699390575448;0.02550978460662294;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9527937143138622;0.04317657944996546;0.02976922263567104;0.9151375424972876;0.0781069856660928;0.0829789537567214;17.0;0.16326530612244897;0.9890096317281386;0.011003174498926557;0.009621241718229853;0.8616051493362595;0.14525605675646372;0.23171695375725349;18.0;0.10204081632653061;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.9005824129499833;0.08503165830371215;0.0501819272829121;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.23469387755102042
589;[489, 590];0.9660255369410415;0.03191699390575448;0.02550978460662294;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9573895068321472;0.03948343824609587;0.025087747107648065;0.9024945481137767;0.08743076962144639;0.07566278786721671;17.0;0.15306122448979592;0.9890096317281386;0.011003174498926557;0.009621241718229853;0.8616051493362595;0.14525605675646372;0.23171695375725349;18.0;0.10204081632653061;0.4917634159532095;0.2524976594531382;0.21961907451819218;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5714285714285714;0.8954525104304121;0.08821719208390334;0.05351667592797972;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.24489795918367346
590;[490, 591];0.9660255369410415;0.03191699390575448;0.02550978460662294;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9613943281667618;0.036271389957488714;0.022842143192957264;0.9024945481137767;0.08743076962144639;0.07566278786721671;17.0;0.14285714285714285;0.9919877611647422;0.007979621592744965;0.006063751938424892;0.9400664543100068;0.05624129096313678;0.05626429483399608;18.0;0.10204081632653061;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.7435032788101106;0.23349426159598274;0.417157287525381;7.0;0.5612244897959183;0.8911757763293617;0.09065755550054187;0.05257009853739883;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.25510204081632654
591;[491, 592];0.9660255369410415;0.03191699390575448;0.02550978460662294;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.1326530612244898;0.9613943281667618;0.036271389957488714;0.022842143192957264;0.9024945481137767;0.08743076962144639;0.07566278786721671;17.0;0.14285714285714285;0.9896320565244525;0.010252423658533617;0.006844666687278643;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.10204081632653061;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5510204081632653;0.8835636012033745;0.09581151696544207;0.05518532509376459;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.2653061224489796
592;[492, 593];0.963275641369575;0.034049804792318686;0.02518817470502918;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.14285714285714285;0.9581181901102633;0.03880209259599206;0.022645390427686284;0.9151375424972876;0.0781069856660928;0.0829789537567214;17.0;0.15306122448979592;0.9881395024677885;0.01159663974841709;0.00683686534727881;0.990837632555437;0.009195596539434117;0.00631378215210273;18.0;0.11224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5510204081632653;0.8731068912134188;0.10371074245236407;0.058417914105665034;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.2755102040816326
593;[493, 594];0.9629438333268119;0.034348815371320424;0.026184319033891713;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.14285714285714285;0.9577656177941306;0.039126341103472045;0.024081803126560115;0.9024945481137767;0.08743076962144639;0.07566278786721671;17.0;0.15306122448979592;0.9899163688217877;0.009843897952839216;0.005485003121614421;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.11224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5612244897959183;0.8759880258267702;0.10131878144086152;0.055404156852227326;0.956650471575569;0.04270672693661934;0.03506204731759999;17.0;0.2755102040816326
594;[494, 595];0.9640043246476913;0.03335979474403168;0.02354886237214629;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.14285714285714285;0.9581181901102633;0.03880209259599206;0.022313937758352897;0.9024945481137767;0.08743076962144639;0.07566278786721671;17.0;0.15306122448979592;0.9903504498927955;0.009373348144976899;0.004533344111273443;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.11224489795918366;0.49176341595320944;0.2524976594531377;0.22974674437365067;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5714285714285714;0.8731068912134188;0.10371074245236407;0.058417914105665034;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.2755102040816326
595;[495, 596];0.9599995033130766;0.036593516387770475;0.025921032278002867;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.14285714285714285;0.9543015288870147;0.04175419704506426;0.02394257286865127;0.9024945481137767;0.08743076962144639;0.07566278786721671;17.0;0.15306122448979592;0.9870357737010553;0.012545343432065105;0.006305907341687754;0.9488801212514659;0.050098499096156206;0.05273549718498638;18.0;0.11224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.8633240591482757;0.11057704939195152;0.06534194260509513;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.2755102040816326
596;[496, 597];0.9549696297237839;0.04075122981906289;0.031243403767402145;0.956650471575569;0.04270672693661887;0.01959199347967484;17.0;0.15306122448979592;0.9495238505882664;0.04553293405437172;0.028626666848944365;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.16326530612244897;0.9850416970365069;0.014288241003310536;0.008327068221268812;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.12244897959183673;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.8571296596844096;0.11396464110413713;0.06963445508758812;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.2857142857142857
597;[497, 598];0.9509710827200719;0.04379503932116353;0.03232052473890813;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.16326530612244897;0.9449729926540195;0.04898832106028186;0.030302309389455676;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.17346938775510204;0.98537350507927;0.013975076649011637;0.006120526944822126;0.9789848253208955;0.020031194717033532;0.011714322282044436;18.0;0.12244897959183673;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.8462794596363037;0.12145992307399955;0.07757947890140623;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.29591836734693877
598;[498, 599];0.9509710827200719;0.04379503932116353;0.03232052473890813;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.17346938775510204;0.9449729926540195;0.04898832106028186;0.030302309389455676;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.18367346938775508;0.9853735050792702;0.013975076649011639;0.007805433879423545;0.9789848253208955;0.020031194717033532;0.011714322282044436;18.0;0.12244897959183673;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.8476970825957224;0.12028544072732013;0.0797361147399696;0.9546444483376649;0.04329880445251331;0.04544976391740906;16.0;0.29591836734693877
599;[499, 600];0.9509710827200719;0.04379503932116353;0.03232052473890813;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.17346938775510204;0.9449729926540195;0.04898832106028186;0.030302309389455676;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.18367346938775508;0.9853735050792702;0.013975076649011639;0.007805433879423545;0.990837632555437;0.009195596539434601;0.003156891076051365;18.0;0.1326530612244898;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.8476970825957224;0.12028544072732013;0.0797361147399696;0.9546444483376649;0.04329880445251331;0.04544976391740906;16.0;0.29591836734693877
600;[500, 601];0.9509710827200719;0.04379503932116353;0.03144633954752649;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.17346938775510204;0.944193861358983;0.0497217928271682;0.03082597193890204;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.18367346938775508;0.9869392897614471;0.012366317108134168;0.006220284934950632;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.1326530612244898;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5918367346938775;0.8476970825957224;0.12028544072732013;0.0797361147399696;0.9546444483376649;0.04329880445251331;0.04544976391740906;16.0;0.29591836734693877
601;[501, 602];0.9451127880375167;0.04856779956708853;0.03745812550543193;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.17346938775510204;0.9386350431059763;0.0540377769305025;0.036111924501397275;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.18367346938775508;0.9843576777213614;0.014634938056406064;0.008635111464230155;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.1326530612244898;0.47261080231095715;0.24909244148174525;0.2316254436417791;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6020408163265306;0.8476970825957224;0.12028544072732013;0.0797361147399696;0.9546444483376649;0.04329880445251331;0.04544976391740906;16.0;0.2857142857142857
602;[502, 603];0.9373780543745885;0.05525032606293545;0.04170956353175835;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.18367346938775508;0.9300279454438578;0.06154063000995012;0.04051406187040089;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.19387755102040816;0.9803372939005307;0.01831385150596669;0.010577553054267812;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.14285714285714285;0.4626994522048903;0.24714667262141143;0.22737775738069949;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6122448979591837;0.8476970825957224;0.12028544072732013;0.0797361147399696;0.9546444483376649;0.04329880445251331;0.04544976391740906;16.0;0.2857142857142857
603;[503, 604];0.935914542720656;0.05656396238581834;0.04350245335516124;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.18367346938775508;0.928462160761681;0.06297135083341847;0.04291472111538817;0.956650471575569;0.04270672693661934;0.03909390947193781;17.0;0.19387755102040816;0.9839235966503538;0.015100269107418714;0.009070842487121178;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.14285714285714285;0.4626994522048903;0.24714667262141143;0.22737775738069949;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6122448979591837;0.8553270544100993;0.11589851786129587;0.07754740374867125;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2857142857142857
604;[504, 605];0.933717788466201;0.05871424397146278;0.04814534327363383;0.9245387872348442;0.07224132745313432;0.10811232149927667;17.0;0.18367346938775508;0.9264260407352565;0.06486245685518004;0.04745342287731259;0.9692934659590802;0.032098294201678416;0.021230629976529643;17.0;0.19387755102040816;0.9847606980544142;0.014216929001221642;0.009948406398030471;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.14285714285714285;0.4626994522048903;0.24714667262141143;0.22737775738069949;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6224489795918368;0.8531161069850924;0.11753648859813798;0.08358019740199932;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2857142857142857
605;[505, 606];0.9251106908040823;0.06612909032908901;0.05325473539882822;0.956650471575569;0.042706726936619574;0.06263480451232883;17.0;0.17346938775510204;0.9168497339141304;0.0731985393077421;0.05281579969034107;0.956650471575569;0.042706726936619574;0.02291786366398547;17.0;0.1836734693877551;0.9823060989157606;0.01630437726249579;0.010858729417995535;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.1326530612244898;0.45224053857095875;0.245020037597818;0.2345907751918675;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6326530612244898;0.8481674179399699;0.1198960304950223;0.08285145325420226;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2857142857142857
606;[506, 607];0.9155343839829562;0.07443818672633949;0.05898492012375742;0.956650471575569;0.042706726936619574;0.06263480451232883;17.0;0.1836734693877551;0.9061728310999256;0.08257588656345978;0.05893164031023577;0.956650471575569;0.042706726936619574;0.02291786366398547;17.0;0.19387755102040818;0.9792820477759409;0.01887944721369751;0.011988171175790065;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.14285714285714285;0.45224053857095875;0.24502003759781843;0.22326585810756328;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6326530612244898;0.8481674179399699;0.1198960304950223;0.08285145325420226;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2857142857142857
607;[507, 608];0.9133234365579491;0.07633272270514174;0.06164446870849878;0.956650471575569;0.042706726936619574;0.06263480451232883;17.0;0.1836734693877551;0.9038049030307379;0.08463141616966088;0.06233612123181418;0.956650471575569;0.042706726936619574;0.02291786366398547;17.0;0.19387755102040818;0.9796581587379242;0.01850557292129188;0.011494152232819174;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.14285714285714285;0.4626994522048903;0.24714667262141143;0.22737775738069949;0.7435032788101106;0.23349426159598274;0.417157287525381;7.0;0.6326530612244898;0.8553270544100993;0.11589851786129587;0.07754740374867125;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2755102040816326
608;[508, 609];0.9176433951189221;0.07351293761881277;0.059647737891904376;0.956650471575569;0.042706726936619574;0.06263480451232883;17.0;0.1836734693877551;0.9079496703901931;0.08207706873878463;0.061032030281739154;0.956650471575569;0.042706726936619574;0.02291786366398547;17.0;0.19387755102040818;0.9834613411727805;0.01513490079557142;0.009566522556492646;0.9488801212514659;0.050098499096156206;0.07260032500972276;18.0;0.14285714285714285;0.45224053857095875;0.245020037597818;0.2345907751918675;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6326530612244898;0.8601476078530194;0.11352674874578862;0.07841444244229288;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2755102040816326
609;[509, 610];0.9139685993007791;0.07582125807810723;0.05963500506920745;0.956650471575569;0.042706726936619574;0.06263480451232883;17.0;0.1836734693877551;0.9038049030307379;0.0846314161696611;0.061031430069382914;0.956650471575569;0.042706726936619574;0.02291786366398547;17.0;0.19387755102040818;0.9800611790709773;0.018091208381787814;0.010945936022304075;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.14285714285714285;0.4417054404414828;0.24270361996952014;0.2305789130933703;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8531161069850924;0.11753648859813798;0.08358019740199932;0.9337851376692214;0.06368767510851106;0.06206926477605475;16.0;0.2755102040816326
610;[510, 611];0.9094920238985609;0.07869083751638854;0.061524148826100106;0.956650471575569;0.042706726936619574;0.06263480451232883;17.0;0.19387755102040818;0.8995077527630991;0.08722758324611829;0.06222841324514038;0.944007477192058;0.05302369343549294;0.04477152501692065;17.0;0.20408163265306123;0.9760491532788731;0.02158635585826201;0.012760394216129397;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.15306122448979592;0.4417054404414828;0.24270361996952014;0.2305789130933703;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8413219277851535;0.12594843811626633;0.09277160243183465;0.9681905137485697;0.032396303060324275;0.015863080890759405;16.0;0.2857142857142857
611;[511, 612];0.9057328431187553;0.08208971097566266;0.06959926340350558;0.9245387872348441;0.0722413274531352;0.07074712601160552;17.0;0.19387755102040818;0.8966266181497478;0.08974680318806545;0.06933171547941591;0.944007477192058;0.05302369343549294;0.04477152501692065;17.0;0.20408163265306123;0.97564613294582;0.021997519209571846;0.015439351922770345;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.15306122448979592;0.4417054404414828;0.24270361996952014;0.2305789130933703;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8408515924409059;0.12633024227727446;0.09636785045433158;0.9681905137485697;0.032396303060324275;0.015863080890759405;16.0;0.2857142857142857
612;[512, 613];0.9057328431187553;0.08208971097566266;0.06959926340350558;0.9245387872348441;0.0722413274531352;0.07074712601160552;17.0;0.19387755102040818;0.8986627381761723;0.08798221540254138;0.06806220172470157;0.944007477192058;0.05302369343549294;0.04477152501692065;17.0;0.20408163265306123;0.9752700219838367;0.022368457308547866;0.014985529460589859;0.9789848253208955;0.020031194717033532;0.011714322282044436;18.0;0.15306122448979592;0.4417054404414828;0.24270361996952014;0.2305789130933703;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8467531034438893;0.12131022157038712;0.09102952036529696;0.9681905137485697;0.032396303060324275;0.015863080890759405;16.0;0.2857142857142857
613;[513, 614];0.9092674091107944;0.07998008762883167;0.0697807446862028;0.9245387872348441;0.0722413274531352;0.07074712601160552;17.0;0.19387755102040818;0.9026465337437444;0.08563033144451154;0.06839765867376421;0.9566504715755689;0.04270672693661957;0.038429397798721454;17.0;0.20408163265306123;0.9781503441647716;0.020005054874786432;0.01364213547374211;0.9789848253208955;0.020031194717033532;0.011714322282044436;18.0;0.16326530612244897;0.45224053857095875;0.24502003759781843;0.22326585810756328;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8567951871424465;0.11466067530390216;0.08688758549934622;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.2857142857142857
614;[514, 615];0.9055257090186958;0.08354066446585034;0.07631395311732675;0.944007477192058;0.05302369343549294;0.04477152501692065;17.0;0.19387755102040818;0.899532515706769;0.08847709268929858;0.07431874349682813;0.9566504715755689;0.04270672693661957;0.038429397798721454;17.0;0.20408163265306123;0.9785533644978247;0.019591969099863313;0.013606260818497485;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.16326530612244897;0.45224053857095875;0.245020037597818;0.2345907751918675;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8616157405853665;0.11227565937984535;0.08761789216642979;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.2755102040816327
615;[515, 616];0.894848806204491;0.09265757303987197;0.08359035073849047;0.9546444483376649;0.04329880445251307;0.03395860375336986;16.0;0.1836734693877551;0.8875680942183494;0.09893136399123953;0.08223836005960941;0.9546444483376649;0.04329880445251284;0.037853764469154914;16.0;0.19387755102040816;0.9756730423168898;0.02195761268713755;0.014786352134679603;0.9789848253208955;0.020031194717032578;0.017037086855465844;18.0;0.15306122448979592;0.4417054404414828;0.24270361996952014;0.2305789130933703;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8616157405853665;0.11227565937984535;0.08761789216642979;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.2653061224489796
616;[516, 617];0.8828843847160714;0.102988413071238;0.09192149063670664;0.9546444483376649;0.04329880445251307;0.03395860375336986;16.0;0.19387755102040816;0.8740308698160516;0.11093629145953988;0.09159403142852185;0.9546444483376649;0.04329880445251284;0.037853764469154914;16.0;0.20408163265306123;0.9722387663865274;0.024782062311624838;0.01617573587505981;0.990837632555437;0.009195596539434117;0.00631378215210273;18.0;0.163265306122449;0.4417054404414828;0.24270361996952014;0.2305789130933703;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6428571428571429;0.8616157405853665;0.11227565937984535;0.08761789216642979;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.2653061224489796
617;[517, 618];0.8845899647817456;0.10132516461910486;0.08584574206327872;0.9202390722583167;0.07371028253262965;0.06022469646482999;16.0;0.19387755102040816;0.875108767826603;0.10993304273576887;0.08653196301118651;0.9546444483376649;0.04329880445251307;0.03395860375336986;16.0;0.20408163265306123;0.9722387663865274;0.024782062311624838;0.013916226744814082;0.9488801212514659;0.050098499096156206;0.045130195779414475;18.0;0.163265306122449;0.4638297194616852;0.24297022867929466;0.2236934285261774;0.7435032788101106;0.23349426159598274;0.41715728752538095;7.0;0.6326530612244898;0.8689864607663293;0.10780149665923765;0.08225274716611389;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.25510204081632654
618;[518, 619];0.8912550431185723;0.09687780635079667;0.08275949375779235;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.19387755102040816;0.8819222180564659;0.1055545201462776;0.08330371830617042;0.9546444483376649;0.04329880445251284;0.037853764469154914;16.0;0.20408163265306123;0.9760491532788731;0.02158635585826201;0.012760394216129397;0.9488801212514659;0.050098499096156206;0.045130195779414475;18.0;0.163265306122449;0.4858778139863431;0.24207791681855145;0.20294442515070912;0.7435032788101106;0.23349426159598274;0.41715728752538095;7.0;0.6224489795918368;0.8732448130859526;0.10562456102267369;0.08333743203013799;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.25510204081632654
619;[519, 620];0.8862893419973531;0.10115788110370208;0.09247412747569159;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.19387755102040816;0.8778661906093109;0.10891775459155621;0.09238929981407573;0.9104712149289942;0.08269113238139036;0.08244590536342238;15.0;0.20408163265306123;0.97564613294582;0.021997519209571846;0.014716928564567137;0.9306282244165778;0.06882298225072173;0.0502404735808355;18.0;0.163265306122449;0.49625949943665754;0.2434676406771877;0.19521527354938026;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6122448979591837;0.8660083313297257;0.11010054304065209;0.0885561790799696;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.25510204081632654
620;[520, 621];0.8771976397557306;0.11068102523425026;0.1002118788855112;0.9890498244170132;0.010496626898348073;0.010823626546461839;16.0;0.19387755102040816;0.8668588831580656;0.1207710094231047;0.10221508492559293;0.9104712149289942;0.08269113238139036;0.08244590536342238;15.0;0.20408163265306123;0.9752700219838367;0.022368457308547387;0.015310108472586105;0.9306282244165778;0.06882298225072173;0.0502404735808355;18.0;0.163265306122449;0.506562884021188;0.24467587457390547;0.1981214394408897;0.7435032788101106;0.23349426159598274;0.417157287525381;7.0;0.6020408163265306;0.8616157405853665;0.11227565937984535;0.08761789216642979;0.988762155916294;0.01102091595469542;0.003367350481121461;17.0;0.2653061224489796
